GEO_ID,NAME,DP03_0062E,DP03_0062M,DP03_0062PE,DP03_0062PM,DP03_0063E,DP03_0063M,DP03_0063PE,DP03_0063PM
0500000US01043,"Cullman County, Alabama",42558,1523,(X),(X),58564,2355,(X),(X)
0500000US01045,"Dale County, Alabama",45960,2816,(X),(X),59184,2415,(X),(X)
0500000US01047,"Dallas County, Alabama",31602,1447,(X),(X),46049,1751,(X),(X)
0500000US01049,"DeKalb County, Alabama",39233,2081,(X),(X),54158,2412,(X),(X)
0500000US01051,"Elmore County, Alabama",59347,2721,(X),(X),74630,3394,(X),(X)
0500000US01053,"Escambia County, Alabama",35000,3118,(X),(X),47508,2634,(X),(X)
0500000US01055,"Etowah County, Alabama",44023,1776,(X),(X),58953,1822,(X),(X)
0500000US01057,"Fayette County, Alabama",37458,3109,(X),(X),52024,4182,(X),(X)
0500000US01059,"Franklin County, Alabama",40459,2822,(X),(X),52295,2707,(X),(X)
0500000US01061,"Geneva County, Alabama",38142,3168,(X),(X),49724,2639,(X),(X)
0500000US01063,"Greene County, Alabama",21804,4672,(X),(X),33639,3716,(X),(X)
0500000US01065,"Hale County, Alabama",30571,4241,(X),(X),49368,3835,(X),(X)
0500000US01067,"Henry County, Alabama",48610,3806,(X),(X),59476,3258,(X),(X)
0500000US01069,"Houston County, Alabama",45496,941,(X),(X),64926,1349,(X),(X)
0500000US01071,"Jackson County, Alabama",39816,1602,(X),(X),52230,2069,(X),(X)
0500000US01073,"Jefferson County, Alabama",51979,687,(X),(X),75281,1057,(X),(X)
0500000US01075,"Lamar County, Alabama",36756,2887,(X),(X),51320,5263,(X),(X)
0500000US01077,"Lauderdale County, Alabama",46265,1490,(X),(X),64129,2174,(X),(X)
0500000US01079,"Lawrence County, Alabama",44515,2491,(X),(X),58594,2858,(X),(X)
0500000US01081,"Lee County, Alabama",48056,1506,(X),(X),69057,2392,(X),(X)
0500000US01083,"Limestone County, Alabama",56460,3118,(X),(X),74295,2730,(X),(X)
0500000US01085,"Lowndes County, Alabama",30833,3373,(X),(X),47366,2832,(X),(X)
0500000US01087,"Macon County, Alabama",32074,2430,(X),(X),48702,3332,(X),(X)
0500000US01089,"Madison County, Alabama",63417,1447,(X),(X),85952,1444,(X),(X)
0500000US01091,"Marengo County, Alabama",32809,3613,(X),(X),50946,6432,(X),(X)
0500000US01093,"Marion County, Alabama",35392,3171,(X),(X),50337,3059,(X),(X)
0500000US01095,"Marshall County, Alabama",42490,1703,(X),(X),61600,2260,(X),(X)
0500000US01097,"Mobile County, Alabama",46166,1129,(X),(X),63768,1261,(X),(X)
0500000US01099,"Monroe County, Alabama",30141,4709,(X),(X),45863,3117,(X),(X)
0500000US01101,"Montgomery County, Alabama",47990,1315,(X),(X),68306,1535,(X),(X)
0500000US01103,"Morgan County, Alabama",49751,2001,(X),(X),65068,2099,(X),(X)
0500000US01105,"Perry County, Alabama",23561,2573,(X),(X),33680,4127,(X),(X)
0500000US01107,"Pickens County, Alabama",37458,3062,(X),(X),54603,4438,(X),(X)
0500000US01109,"Pike County, Alabama",34678,3262,(X),(X),54193,4607,(X),(X)
0500000US01111,"Randolph County, Alabama",41449,3941,(X),(X),56137,4740,(X),(X)
0500000US01113,"Russell County, Alabama",40978,2192,(X),(X),53747,2380,(X),(X)
0500000US01115,"St. Clair County, Alabama",54887,2057,(X),(X),65756,2334,(X),(X)
0500000US01117,"Shelby County, Alabama",75761,1348,(X),(X),95835,2218,(X),(X)
0500000US01119,"Sumter County, Alabama",23132,2361,(X),(X),38126,4518,(X),(X)
0500000US01121,"Talladega County, Alabama",41012,1513,(X),(X),54898,2177,(X),(X)
0500000US01123,"Tallapoosa County, Alabama",43361,3489,(X),(X),56874,2174,(X),(X)
0500000US01125,"Tuscaloosa County, Alabama",52221,1240,(X),(X),69478,1488,(X),(X)
0500000US01127,"Walker County, Alabama",41748,1803,(X),(X),56961,2119,(X),(X)
0500000US01129,"Washington County, Alabama",40794,3442,(X),(X),54475,5875,(X),(X)
0500000US01131,"Wilcox County, Alabama",27237,4033,(X),(X),42007,3398,(X),(X)
0500000US01133,"Winston County, Alabama",38504,3600,(X),(X),51630,3309,(X),(X)
0500000US02013,"Aleutians East Borough, Alaska",69706,4788,(X),(X),81570,4552,(X),(X)
0500000US02016,"Aleutians West Census Area, Alaska",85517,3718,(X),(X),101440,4331,(X),(X)
0500000US02020,"Anchorage Municipality, Alaska",83280,1770,(X),(X),106840,2175,(X),(X)
0500000US02050,"Bethel Census Area, Alaska",54212,2972,(X),(X),70334,3200,(X),(X)
0500000US02060,"Bristol Bay Borough, Alaska",84688,10676,(X),(X),99525,9711,(X),(X)
0500000US02068,"Denali Borough, Alaska",84196,7160,(X),(X),91022,8564,(X),(X)
0500000US02070,"Dillingham Census Area, Alaska",58750,4339,(X),(X),72873,4366,(X),(X)
0500000US02090,"Fairbanks North Star Borough, Alaska",77095,2705,(X),(X),94841,3122,(X),(X)
0500000US02100,"Haines Borough, Alaska",64342,19415,(X),(X),76564,9926,(X),(X)
0500000US02105,"Hoonah-Angoon Census Area, Alaska",63603,6054,(X),(X),77180,5489,(X),(X)
0500000US02110,"Juneau City and Borough, Alaska",88213,3956,(X),(X),107563,7729,(X),(X)
0500000US02122,"Kenai Peninsula Borough, Alaska",66684,2674,(X),(X),84549,3235,(X),(X)
0500000US02130,"Ketchikan Gateway Borough, Alaska",70356,3342,(X),(X),86145,3943,(X),(X)
0500000US02150,"Kodiak Island Borough, Alaska",78281,9886,(X),(X),90125,7889,(X),(X)
0500000US02158,"Kusilvak Census Area, Alaska",35539,3260,(X),(X),46732,3650,(X),(X)
0500000US02164,"Lake and Peninsula Borough, Alaska",46406,5186,(X),(X),60837,6298,(X),(X)
0500000US02170,"Matanuska-Susitna Borough, Alaska",75905,1736,(X),(X),90862,1694,(X),(X)
0500000US02180,"Nome Census Area, Alaska",58987,3166,(X),(X),73589,3782,(X),(X)
0500000US02185,"North Slope Borough, Alaska",75431,13210,(X),(X),93624,9387,(X),(X)
0500000US02188,"Northwest Arctic Borough, Alaska",62949,3677,(X),(X),80250,4005,(X),(X)
0500000US02195,"Petersburg Borough, Alaska",66907,2820,(X),(X),87391,7903,(X),(X)
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",54191,2561,(X),(X),66830,2444,(X),(X)
0500000US02220,"Sitka City and Borough, Alaska",71534,4048,(X),(X),89940,5785,(X),(X)
0500000US02230,"Skagway Municipality, Alaska",72237,5731,(X),(X),83881,4565,(X),(X)
0500000US02240,"Southeast Fairbanks Census Area, Alaska",71541,6871,(X),(X),80274,4756,(X),(X)
0500000US02261,"Valdez-Cordova Census Area, Alaska",82306,5784,(X),(X),95129,8666,(X),(X)
0500000US02275,"Wrangell City and Borough, Alaska",57583,7200,(X),(X),70025,6013,(X),(X)
0500000US02282,"Yakutat City and Borough, Alaska",65833,9645,(X),(X),73088,5348,(X),(X)
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",40000,2340,(X),(X),53907,3062,(X),(X)
0500000US04001,"Apache County, Arizona",32963,1614,(X),(X),44356,1566,(X),(X)
0500000US04003,"Cochise County, Arizona",48649,1372,(X),(X),62072,1779,(X),(X)
0500000US04005,"Coconino County, Arizona",57616,1629,(X),(X),75304,2160,(X),(X)
0500000US04007,"Gila County, Arizona",42092,1810,(X),(X),55246,2312,(X),(X)
0500000US04009,"Graham County, Arizona",51352,2134,(X),(X),59370,2234,(X),(X)
0500000US04011,"Greenlee County, Arizona",60962,3549,(X),(X),71773,5740,(X),(X)
0500000US04012,"La Paz County, Arizona",33333,5547,(X),(X),46901,4202,(X),(X)
0500000US04013,"Maricopa County, Arizona",61606,305,(X),(X),84884,501,(X),(X)
0500000US04015,"Mohave County, Arizona",43266,1301,(X),(X),57571,1486,(X),(X)
0500000US04017,"Navajo County, Arizona",40054,1508,(X),(X),53558,1536,(X),(X)
0500000US04019,"Pima County, Arizona",51037,502,(X),(X),70610,690,(X),(X)
0500000US04021,"Pinal County, Arizona",55550,944,(X),(X),67625,1324,(X),(X)
0500000US04023,"Santa Cruz County, Arizona",40467,2823,(X),(X),59164,4034,(X),(X)
0500000US04025,"Yavapai County, Arizona",50180,1188,(X),(X),65629,1483,(X),(X)
0500000US04027,"Yuma County, Arizona",44058,1027,(X),(X),58796,1328,(X),(X)
0500000US05001,"Arkansas County, Arkansas",39466,2862,(X),(X),57077,3686,(X),(X)
0500000US05003,"Ashley County, Arkansas",39635,2381,(X),(X),55565,5025,(X),(X)
0500000US05005,"Baxter County, Arkansas",41481,1723,(X),(X),57247,3228,(X),(X)
0500000US05007,"Benton County, Arkansas",64141,973,(X),(X),88345,1970,(X),(X)
0500000US05009,"Boone County, Arkansas",43262,1685,(X),(X),58658,2882,(X),(X)
0500000US05011,"Bradley County, Arkansas",39510,1964,(X),(X),54378,3230,(X),(X)
0500000US05013,"Calhoun County, Arkansas",44022,5407,(X),(X),57517,4853,(X),(X)
0500000US05015,"Carroll County, Arkansas",43505,2576,(X),(X),58830,4995,(X),(X)
0500000US05017,"Chicot County, Arkansas",33051,2405,(X),(X),53248,7790,(X),(X)
0500000US05019,"Clark County, Arkansas",39752,3177,(X),(X),54268,2547,(X),(X)
0500000US05021,"Clay County, Arkansas",33935,3014,(X),(X),46074,3001,(X),(X)
0500000US05023,"Cleburne County, Arkansas",43391,3877,(X),(X),59787,3684,(X),(X)
0500000US05025,"Cleveland County, Arkansas",42460,5180,(X),(X),57182,3966,(X),(X)
0500000US05027,"Columbia County, Arkansas",36148,2798,(X),(X),53655,5039,(X),(X)
0500000US05029,"Conway County, Arkansas",41196,3290,(X),(X),57701,3962,(X),(X)
0500000US05031,"Craighead County, Arkansas",45868,1769,(X),(X),66617,3050,(X),(X)
0500000US05033,"Crawford County, Arkansas",46619,1940,(X),(X),61329,4127,(X),(X)
0500000US05035,"Crittenden County, Arkansas",39002,3326,(X),(X),55159,2136,(X),(X)
0500000US05037,"Cross County, Arkansas",43838,3033,(X),(X),61914,6700,(X),(X)
0500000US05039,"Dallas County, Arkansas",36628,4304,(X),(X),44870,3347,(X),(X)
0500000US05041,"Desha County, Arkansas",30234,3199,(X),(X),43560,3416,(X),(X)
0500000US05043,"Drew County, Arkansas",43014,6583,(X),(X),57827,4867,(X),(X)
0500000US05045,"Faulkner County, Arkansas",51930,2657,(X),(X),69056,2443,(X),(X)
0500000US05047,"Franklin County, Arkansas",39463,2378,(X),(X),49603,2766,(X),(X)
0500000US05049,"Fulton County, Arkansas",36184,3839,(X),(X),47478,3731,(X),(X)
0500000US05051,"Garland County, Arkansas",43146,1686,(X),(X),62899,3705,(X),(X)
0500000US05053,"Grant County, Arkansas",51920,3608,(X),(X),66845,5759,(X),(X)
0500000US05055,"Greene County, Arkansas",47497,2882,(X),(X),58805,2185,(X),(X)
0500000US05057,"Hempstead County, Arkansas",41355,3621,(X),(X),52426,3325,(X),(X)
0500000US05059,"Hot Spring County, Arkansas",41262,1831,(X),(X),54707,3810,(X),(X)
0500000US05061,"Howard County, Arkansas",35900,4446,(X),(X),59294,7493,(X),(X)
0500000US05063,"Independence County, Arkansas",43523,2344,(X),(X),59214,3202,(X),(X)
0500000US05065,"Izard County, Arkansas",40218,3817,(X),(X),50944,5470,(X),(X)
0500000US05067,"Jackson County, Arkansas",33174,2693,(X),(X),52085,4944,(X),(X)
0500000US05069,"Jefferson County, Arkansas",38289,2040,(X),(X),53194,2119,(X),(X)
0500000US05071,"Johnson County, Arkansas",37170,1845,(X),(X),49280,3185,(X),(X)
0500000US05073,"Lafayette County, Arkansas",32412,3163,(X),(X),59077,10587,(X),(X)
0500000US05075,"Lawrence County, Arkansas",38528,2394,(X),(X),50287,2991,(X),(X)
0500000US05077,"Lee County, Arkansas",28367,5453,(X),(X),41798,4076,(X),(X)
0500000US05079,"Lincoln County, Arkansas",45166,10567,(X),(X),54584,4581,(X),(X)
0500000US05081,"Little River County, Arkansas",45388,4435,(X),(X),59113,5098,(X),(X)
0500000US05083,"Logan County, Arkansas",39748,2062,(X),(X),52645,3122,(X),(X)
0500000US05085,"Lonoke County, Arkansas",57509,2386,(X),(X),69490,1916,(X),(X)
0500000US05087,"Madison County, Arkansas",43891,3623,(X),(X),61519,6160,(X),(X)
0500000US05089,"Marion County, Arkansas",35518,3067,(X),(X),45432,3055,(X),(X)
0500000US05091,"Miller County, Arkansas",41903,1899,(X),(X),56997,2735,(X),(X)
0500000US05093,"Mississippi County, Arkansas",37237,1966,(X),(X),52080,2685,(X),(X)
0500000US05095,"Monroe County, Arkansas",35190,6580,(X),(X),47475,3698,(X),(X)
0500000US05097,"Montgomery County, Arkansas",37855,4283,(X),(X),51753,4481,(X),(X)
0500000US05099,"Nevada County, Arkansas",37635,4786,(X),(X),45112,4298,(X),(X)
0500000US05101,"Newton County, Arkansas",39896,6153,(X),(X),47959,3655,(X),(X)
0500000US05103,"Ouachita County, Arkansas",34887,2524,(X),(X),49607,3085,(X),(X)
0500000US05105,"Perry County, Arkansas",46071,6434,(X),(X),56931,4119,(X),(X)
0500000US05107,"Phillips County, Arkansas",29263,3332,(X),(X),44626,3279,(X),(X)
0500000US05109,"Pike County, Arkansas",37406,4126,(X),(X),52727,4092,(X),(X)
0500000US05111,"Poinsett County, Arkansas",39277,2374,(X),(X),47721,2361,(X),(X)
0500000US05113,"Polk County, Arkansas",37035,1890,(X),(X),48496,3107,(X),(X)
0500000US05115,"Pope County, Arkansas",41914,2119,(X),(X),57914,2797,(X),(X)
0500000US05117,"Prairie County, Arkansas",41846,2815,(X),(X),52656,3770,(X),(X)
0500000US05119,"Pulaski County, Arkansas",50093,1057,(X),(X),74959,1467,(X),(X)
0500000US05121,"Randolph County, Arkansas",36870,2599,(X),(X),50329,4593,(X),(X)
0500000US05123,"St. Francis County, Arkansas",35356,2573,(X),(X),45472,2623,(X),(X)
0500000US05125,"Saline County, Arkansas",62152,2102,(X),(X),75741,1899,(X),(X)
0500000US05127,"Scott County, Arkansas",35509,4950,(X),(X),44300,3351,(X),(X)
0500000US05129,"Searcy County, Arkansas",36390,3678,(X),(X),48021,5681,(X),(X)
0500000US05131,"Sebastian County, Arkansas",43240,1558,(X),(X),61626,2173,(X),(X)
0500000US05133,"Sevier County, Arkansas",46667,3229,(X),(X),57655,4710,(X),(X)
0500000US05135,"Sharp County, Arkansas",33708,3260,(X),(X),47567,7758,(X),(X)
0500000US05137,"Stone County, Arkansas",36162,3184,(X),(X),49251,4386,(X),(X)
0500000US05139,"Union County, Arkansas",44000,2866,(X),(X),59213,3120,(X),(X)
0500000US05141,"Van Buren County, Arkansas",36897,2259,(X),(X),50038,2569,(X),(X)
0500000US05143,"Washington County, Arkansas",49629,1197,(X),(X),72364,2325,(X),(X)
0500000US05145,"White County, Arkansas",43822,2407,(X),(X),62025,3441,(X),(X)
0500000US05147,"Woodruff County, Arkansas",31023,3645,(X),(X),47914,4583,(X),(X)
0500000US05149,"Yell County, Arkansas",42361,2804,(X),(X),58585,4931,(X),(X)
0500000US06001,"Alameda County, California",92574,1023,(X),(X),122575,889,(X),(X)
0500000US06003,"Alpine County, California",64688,12933,(X),(X),92738,21812,(X),(X)
0500000US06005,"Amador County, California",61198,3241,(X),(X),78014,4792,(X),(X)
0500000US06007,"Butte County, California",48443,1477,(X),(X),69621,1909,(X),(X)
0500000US06009,"Calaveras County, California",58151,3310,(X),(X),79782,4095,(X),(X)
0500000US06011,"Colusa County, California",56704,4501,(X),(X),82313,8367,(X),(X)
0500000US06013,"Contra Costa County, California",93712,926,(X),(X),128079,1308,(X),(X)
0500000US06015,"Del Norte County, California",45258,5035,(X),(X),61652,4905,(X),(X)
0500000US06017,"El Dorado County, California",80582,2117,(X),(X),104895,2431,(X),(X)
0500000US06019,"Fresno County, California",51261,808,(X),(X),71663,949,(X),(X)
0500000US06021,"Glenn County, California",47395,3209,(X),(X),60614,3329,(X),(X)
0500000US06023,"Humboldt County, California",45528,1359,(X),(X),63753,2235,(X),(X)
0500000US06025,"Imperial County, California",45834,1861,(X),(X),63186,2149,(X),(X)
0500000US06027,"Inyo County, California",52874,3230,(X),(X),68448,2709,(X),(X)
0500000US06029,"Kern County, California",52479,729,(X),(X),71440,999,(X),(X)
0500000US06031,"Kings County, California",53865,2352,(X),(X),69985,2095,(X),(X)
0500000US06033,"Lake County, California",42475,2511,(X),(X),60847,2431,(X),(X)
0500000US06035,"Lassen County, California",56362,1943,(X),(X),71097,3396,(X),(X)
0500000US06037,"Los Angeles County, California",64251,247,(X),(X),94484,379,(X),(X)
0500000US06039,"Madera County, California",52884,1923,(X),(X),69614,2177,(X),(X)
0500000US06041,"Marin County, California",110217,3332,(X),(X),168429,3532,(X),(X)
0500000US06043,"Mariposa County, California",51199,3487,(X),(X),64590,3664,(X),(X)
0500000US06045,"Mendocino County, California",49233,2356,(X),(X),67340,2787,(X),(X)
0500000US06047,"Merced County, California",50129,1671,(X),(X),69764,1929,(X),(X)
0500000US06049,"Modoc County, California",45149,5555,(X),(X),54126,4118,(X),(X)
0500000US06051,"Mono County, California",63018,5826,(X),(X),80008,7282,(X),(X)
0500000US06053,"Monterey County, California",66676,1234,(X),(X),93636,1783,(X),(X)
0500000US06055,"Napa County, California",84753,2198,(X),(X),116922,2887,(X),(X)
0500000US06057,"Nevada County, California",63240,1916,(X),(X),86798,2890,(X),(X)
0500000US06059,"Orange County, California",85398,719,(X),(X),117194,953,(X),(X)
0500000US06061,"Placer County, California",84357,1469,(X),(X),109020,1802,(X),(X)
0500000US06063,"Plumas County, California",53270,3391,(X),(X),71648,6749,(X),(X)
0500000US06065,"Riverside County, California",63948,454,(X),(X),84391,753,(X),(X)
0500000US06067,"Sacramento County, California",63902,512,(X),(X),85289,665,(X),(X)
0500000US06069,"San Benito County, California",81977,4226,(X),(X),101057,3842,(X),(X)
0500000US06071,"San Bernardino County, California",60164,626,(X),(X),77575,643,(X),(X)
0500000US06073,"San Diego County, California",74855,578,(X),(X),101302,710,(X),(X)
0500000US06075,"San Francisco County, California",104552,1533,(X),(X),149265,1931,(X),(X)
0500000US06077,"San Joaquin County, California",61145,1022,(X),(X),81297,1130,(X),(X)
0500000US06079,"San Luis Obispo County, California",70699,1500,(X),(X),93008,1891,(X),(X)
0500000US06081,"San Mateo County, California",113776,1672,(X),(X),162639,1868,(X),(X)
0500000US06083,"Santa Barbara County, California",71657,1476,(X),(X),101100,1486,(X),(X)
0500000US06085,"Santa Clara County, California",116178,938,(X),(X),154183,1056,(X),(X)
0500000US06087,"Santa Cruz County, California",78041,1462,(X),(X),109141,2364,(X),(X)
0500000US06089,"Shasta County, California",50905,1445,(X),(X),69130,1537,(X),(X)
0500000US06091,"Sierra County, California",48125,7465,(X),(X),67464,7908,(X),(X)
0500000US06093,"Siskiyou County, California",44200,2158,(X),(X),63208,4614,(X),(X)
0500000US06095,"Solano County, California",77609,1309,(X),(X),96029,1658,(X),(X)
0500000US06097,"Sonoma County, California",76753,1039,(X),(X),102483,1743,(X),(X)
0500000US06099,"Stanislaus County, California",57387,1316,(X),(X),75761,1233,(X),(X)
0500000US06101,"Sutter County, California",56955,2206,(X),(X),75716,2651,(X),(X)
0500000US06103,"Tehama County, California",42899,2347,(X),(X),58939,2659,(X),(X)
0500000US06105,"Trinity County, California",38497,4689,(X),(X),54856,4224,(X),(X)
0500000US06107,"Tulare County, California",47518,1141,(X),(X),66651,1317,(X),(X)
0500000US06109,"Tuolumne County, California",56493,3992,(X),(X),80361,5059,(X),(X)
0500000US06111,"Ventura County, California",84017,1199,(X),(X),110792,1246,(X),(X)
0500000US06113,"Yolo County, California",65923,2023,(X),(X),92571,2182,(X),(X)
0500000US06115,"Yuba County, California",52624,2827,(X),(X),67391,2493,(X),(X)
0500000US08001,"Adams County, Colorado",67575,991,(X),(X),83368,1099,(X),(X)
0500000US08003,"Alamosa County, Colorado",39191,4112,(X),(X),54566,4806,(X),(X)
0500000US08005,"Arapahoe County, Colorado",73925,902,(X),(X),101356,1220,(X),(X)
0500000US08007,"Archuleta County, Colorado",50753,5030,(X),(X),69659,5922,(X),(X)
0500000US08009,"Baca County, Colorado",37500,2954,(X),(X),51427,3648,(X),(X)
0500000US08011,"Bent County, Colorado",34392,6115,(X),(X),47944,3937,(X),(X)
0500000US08013,"Boulder County, Colorado",78642,1583,(X),(X),109446,2061,(X),(X)
0500000US08014,"Broomfield County, Colorado",89624,4013,(X),(X),115956,4248,(X),(X)
0500000US08015,"Chaffee County, Colorado",54580,3158,(X),(X),68388,4540,(X),(X)
0500000US08017,"Cheyenne County, Colorado",55227,5083,(X),(X),66044,6972,(X),(X)
0500000US08019,"Clear Creek County, Colorado",69936,4503,(X),(X),85799,7994,(X),(X)
0500000US08021,"Conejos County, Colorado",34746,3572,(X),(X),49027,3630,(X),(X)
0500000US08023,"Costilla County, Colorado",30593,3298,(X),(X),44416,4966,(X),(X)
0500000US08025,"Crowley County, Colorado",37586,5569,(X),(X),49717,4655,(X),(X)
0500000US08027,"Custer County, Colorado",44644,9674,(X),(X),60902,9459,(X),(X)
0500000US08029,"Delta County, Colorado",44512,3534,(X),(X),61762,4092,(X),(X)
0500000US08031,"Denver County, Colorado",63793,757,(X),(X),93650,1388,(X),(X)
0500000US08033,"Dolores County, Colorado",41714,7892,(X),(X),58964,7859,(X),(X)
0500000US08035,"Douglas County, Colorado",115314,2028,(X),(X),141587,2022,(X),(X)
0500000US08037,"Eagle County, Colorado",84685,4478,(X),(X),112356,7134,(X),(X)
0500000US08039,"Elbert County, Colorado",96658,4279,(X),(X),119132,5678,(X),(X)
0500000US08041,"El Paso County, Colorado",65334,786,(X),(X),84646,938,(X),(X)
0500000US08043,"Fremont County, Colorado",46296,2175,(X),(X),61882,3013,(X),(X)
0500000US08045,"Garfield County, Colorado",72898,3801,(X),(X),87363,3289,(X),(X)
0500000US08047,"Gilpin County, Colorado",75120,6107,(X),(X),104764,16344,(X),(X)
0500000US08049,"Grand County, Colorado",70469,6695,(X),(X),79487,6472,(X),(X)
0500000US08051,"Gunnison County, Colorado",54979,3938,(X),(X),72352,4127,(X),(X)
0500000US08053,"Hinsdale County, Colorado",52188,11724,(X),(X),76124,12051,(X),(X)
0500000US08055,"Huerfano County, Colorado",36705,3945,(X),(X),50624,4162,(X),(X)
0500000US08057,"Jackson County, Colorado",48828,8122,(X),(X),56982,5614,(X),(X)
0500000US08059,"Jefferson County, Colorado",78943,1142,(X),(X),102153,1248,(X),(X)
0500000US08061,"Kiowa County, Colorado",39784,3824,(X),(X),57194,8108,(X),(X)
0500000US08063,"Kit Carson County, Colorado",51046,4399,(X),(X),70847,13619,(X),(X)
0500000US08065,"Lake County, Colorado",46918,4775,(X),(X),61605,7741,(X),(X)
0500000US08067,"La Plata County, Colorado",64372,2658,(X),(X),90042,5334,(X),(X)
0500000US08069,"Larimer County, Colorado",67664,1346,(X),(X),88703,1665,(X),(X)
0500000US08071,"Las Animas County, Colorado",41945,3628,(X),(X),55673,3558,(X),(X)
0500000US08073,"Lincoln County, Colorado",49423,6527,(X),(X),64123,6493,(X),(X)
0500000US08075,"Logan County, Colorado",48922,4300,(X),(X),62194,3730,(X),(X)
0500000US08077,"Mesa County, Colorado",53683,1202,(X),(X),68347,1762,(X),(X)
0500000US08079,"Mineral County, Colorado",61058,4934,(X),(X),75049,8096,(X),(X)
0500000US08081,"Moffat County, Colorado",52807,6292,(X),(X),69217,4934,(X),(X)
0500000US08083,"Montezuma County, Colorado",46797,4106,(X),(X),59138,2837,(X),(X)
0500000US08085,"Montrose County, Colorado",48739,2573,(X),(X),60935,2585,(X),(X)
0500000US08087,"Morgan County, Colorado",51626,2649,(X),(X),63086,3394,(X),(X)
0500000US08089,"Otero County, Colorado",34136,2884,(X),(X),46464,3176,(X),(X)
0500000US08091,"Ouray County, Colorado",62230,7410,(X),(X),76708,6044,(X),(X)
0500000US08093,"Park County, Colorado",66861,6419,(X),(X),83704,8089,(X),(X)
0500000US08095,"Phillips County, Colorado",50724,6930,(X),(X),72533,9282,(X),(X)
0500000US08097,"Pitkin County, Colorado",71244,5939,(X),(X),127167,16414,(X),(X)
0500000US08099,"Prowers County, Colorado",40097,2720,(X),(X),52645,3365,(X),(X)
0500000US08101,"Pueblo County, Colorado",44634,1315,(X),(X),60610,1305,(X),(X)
0500000US08103,"Rio Blanco County, Colorado",55543,4275,(X),(X),69760,5479,(X),(X)
0500000US08105,"Rio Grande County, Colorado",38639,2097,(X),(X),54102,4681,(X),(X)
0500000US08107,"Routt County, Colorado",74273,3839,(X),(X),98004,6388,(X),(X)
0500000US08109,"Saguache County, Colorado",34410,5288,(X),(X),52979,7392,(X),(X)
0500000US08111,"San Juan County, Colorado",46563,9920,(X),(X),65985,12297,(X),(X)
