year,FIPS,Name of Area,State/U.S.-Abbreviation (USPS),Area Total:,% Area Total: Area (Land),% Area Total: Area (Water),Total Population,Population Density (Per Sq. Mile),% Total Population: Male,% Total Population: Female,% Total Population: Under 18 Years,% Total Population: 18 to 34 Years,% Total Population: 35 to 64 Years,% Total Population: 65 and Over,% Total Population: White Alone,% Total Population: Black or African American Alone,% Total Population: American Indian and Alaska Native Alone,% Total Population: Asian Alone,% Total Population: Native Hawaiian and Other Pacific Islander Alone,% Total Population: Some Other Race Alone,% Total Population: Two or More Races,% Population 15 Years and Over: Never Married,% Population 15 Years and Over: Now Married (Not Including Separated),% Population 15 Years and Over: Separated,% Population 15 Years and Over: Widowed,% Population 15 Years and Over: Divorced,Households:,% Households: Family Households,% Households: Family Households: Married-Couple Family,% Households: Family Households: Other Family,"% Households: Family Households: Other Family: Male Householder, No Wife Present","% Households: Family Households: Other Family: Female Householder, No Husband Present",% Households: Nonfamily Households,% Households: Nonfamily Households: Male Householder,% Households: Nonfamily Households: Female Householder,Occupied Housing Units,% Occupied Housing Units: 1-Person Household,% Occupied Housing Units: 2-Person Household,% Occupied Housing Units: 3-Person Household,% Occupied Housing Units: 4-Person Household,% Occupied Housing Units: 5-Person Household,% Occupied Housing Units: 6-Person Household,% Occupied Housing Units: 7-or-More Person Household,% Households: Unmarried-Partner Households,% Households: Unmarried-Partner Households: Same Sex Partners,% Households: Unmarried-Partner Households: Same Sex Partners: Male Householder and Male Partner,% Households: Unmarried-Partner Households: Same Sex Partners: Female Householder and Female Partner,% Households: Unmarried-Partner Households: Opposite Sex Partners,% Households: Unmarried-Partner Households: Opposite Sex Partners: Male Householder and Female Partner,% Households: Unmarried-Partner Households: Opposite Sex Partners: Female Householder and Male Partner,% Households: All Other Households,Average Household Size,Gini Index,% Civilian Population 18 Years and Over: Veteran,% Civilian Population 18 Years and Over: Veteran: 18 to 64 Years,% Civilian Population 18 Years and Over: Veteran: 65 Years and Over,% Civilian Population 18 Years and Over: Nonveteran,% Civilian Population 18 Years and Over: Nonveteran: 18 to 64 Years,% Civilian Population 18 Years and Over: Nonveteran: 65 Years and Over
2018,1021,Chilton County,al,700.8022,98.87,1.13,43930,63.40464,49.33,50.67,24.24,21.21,38.78,15.77,83.31,9.44,0.28,0.43,0.0,4.23,2.3,25.18,52.63,1.56,7.76,12.86,16751,71.2,51.42,19.78,5.77,14.01,28.8,14.09,14.72,16751,24.91,35.55,18.85,13.94,4.01,1.53,1.21,5.37,0.17,0.0,0.17,5.2,3.18,2.02,94.63,2.6,0.4845,8.11,3.67,4.43,91.89,75.51,16.38
2018,1023,Choctaw County,al,920.8592,99.2,0.8,13075,14.31359,47.82,52.18,20.27,17.71,39.97,22.06,56.75,42.75,0.07,0.1,0.0,0.06,0.27,27.99,46.61,3.81,8.4,13.18,5350,65.61,43.42,22.19,4.09,18.09,34.39,16.95,17.44,5350,32.04,38.69,14.45,6.97,5.59,0.36,1.91,2.47,0.15,0.15,0.0,2.32,0.97,1.35,97.53,2.41,0.4809,7.4,3.75,3.65,92.6,68.59,24.02
2018,1025,Clarke County,al,1252.5739999999998,98.87,1.13,24387,19.69202,47.32,52.68,22.1,19.36,39.57,18.97,53.04,45.82,0.1,0.5,0.0,0.0,0.54,32.84,47.04,4.27,7.55,8.3,9358,64.48,48.01,16.47,4.54,11.93,35.52,15.36,20.16,9358,34.09,35.85,13.7,9.69,4.39,1.54,0.74,1.77,0.06,0.06,0.0,1.71,0.61,1.1,98.23,2.57,0.5185,5.95,2.83,3.12,94.05,72.81,21.24
2018,1027,Clay County,al,606.0016,99.66,0.34,13378,22.15044,48.32,51.68,21.07,18.45,40.66,19.82,83.02,14.78,1.16,0.13,0.0,0.19,0.72,22.44,53.9,3.58,8.45,11.63,5236,69.58,51.91,17.67,3.02,14.65,30.42,14.59,15.83,5236,27.52,38.83,13.54,11.48,5.31,2.22,1.11,3.19,0.25,0.0,0.25,2.94,1.34,1.6,96.81,2.51,0.4684,7.46,2.74,4.73,92.54,72.15,20.39
2018,1029,Cleburne County,al,561.0137,99.84,0.16,14938,26.67002,48.74,51.26,23.02,18.48,39.74,18.76,94.18,2.63,0.26,0.02,0.0,0.84,2.07,20.83,54.81,3.21,9.4,11.74,5726,67.41,53.77,13.64,4.56,9.08,32.59,13.19,19.4,5726,29.32,33.99,15.68,11.96,6.9,1.41,0.73,4.05,0.72,0.12,0.59,3.34,1.99,1.34,95.95,2.58,0.4622,6.23,2.42,3.81,93.77,73.16,20.61
2018,1031,Coffee County,al,680.4947,99.78,0.22,51288,75.53616,49.36,50.64,23.71,20.84,39.12,16.33,75.89,17.21,1.2,1.3,0.0,1.26,3.14,24.85,53.28,2.88,6.61,12.38,19789,68.64,51.67,16.97,3.77,13.2,31.36,17.34,14.02,19789,27.65,35.32,15.97,13.1,4.77,2.36,0.82,3.75,0.07,0.02,0.06,3.68,2.25,1.44,96.25,2.56,0.4427,16.95,11.17,5.79,83.05,66.79,16.26
2018,1033,Colbert County,al,623.5174,95.06,4.94,54495,91.93668000000001,47.85,52.15,21.3,19.72,39.71,19.27,79.43,15.81,0.67,0.49,0.05,1.33,2.21,24.76,51.87,2.08,8.21,13.08,21799,67.75,50.14,17.61,5.1,12.51,32.25,13.88,18.38,21799,29.19,38.02,15.73,11.0,4.17,1.38,0.5,3.96,0.14,0.09,0.05,3.82,2.05,1.77,96.04,2.48,0.4496,8.96,4.44,4.53,91.04,71.05,19.99
2018,1035,Conecuh County,al,852.7607,99.7,0.3,12514,14.71889,48.24,51.76,21.18,18.4,38.78,21.63,50.89,47.71,0.45,0.14,0.0,0.02,0.78,35.29,37.92,3.28,11.8,11.71,4574,63.12,39.75,23.37,3.21,20.16,36.88,17.47,19.41,4574,35.83,33.28,16.66,9.38,3.19,1.38,0.28,1.42,0.0,0.0,0.0,1.42,0.66,0.77,98.58,2.73,0.4354,7.87,4.08,3.79,92.13,68.48,23.65
2018,1037,Coosa County,al,666.3498,97.68,2.32,10855,16.67664,50.68,49.32,17.04,17.81,43.33,21.81,65.71,34.21,0.08,0.0,0.0,0.0,0.0,29.7,44.53,2.63,9.63,13.51,4103,64.93,49.18,15.74,2.97,12.77,35.07,20.03,15.04,4103,33.07,36.39,15.62,9.82,4.17,0.58,0.34,1.97,0.05,0.05,0.0,1.93,1.17,0.76,98.03,2.55,0.4646,11.76,6.79,4.98,88.24,66.92,21.32
2018,1039,Covington County,al,1043.7730000000001,98.73,1.27,37351,36.24353,48.65,51.35,21.93,18.79,38.8,20.48,84.67,12.92,0.16,0.43,0.03,0.19,1.61,21.95,51.65,2.69,10.3,13.41,15008,67.46,49.28,18.18,4.54,13.64,32.54,13.68,18.86,15008,28.87,36.41,17.63,9.36,5.23,1.97,0.53,4.56,0.27,0.1,0.17,4.29,2.47,1.82,95.44,2.44,0.4553,9.96,4.16,5.8,90.04,69.58,20.46
2018,1041,Crenshaw County,al,610.9454,99.66,0.34,13865,22.77188,49.15,50.85,22.47,19.05,40.14,18.33,71.68,23.07,0.79,1.36,0.0,1.05,2.06,29.76,46.55,2.5,9.17,12.02,5025,68.14,47.26,20.88,4.6,16.28,31.86,13.03,18.83,5025,28.56,34.91,18.77,12.26,3.42,1.41,0.68,2.59,0.28,0.0,0.28,2.31,1.11,1.19,97.41,2.73,0.504,7.11,2.53,4.58,92.89,73.72,19.17
2018,1043,Cullman County,al,755.0211,97.32,2.68,82313,112.0239,49.28,50.72,22.56,20.28,39.17,17.98,95.24,1.21,0.42,0.41,0.0,0.96,1.76,21.98,54.57,1.87,8.01,13.57,30730,69.32,55.27,14.05,3.85,10.2,30.68,13.42,17.25,30730,26.88,37.87,13.98,13.15,5.73,1.52,0.87,2.99,0.14,0.03,0.11,2.85,1.24,1.6,97.01,2.64,0.4548,8.08,3.9,4.18,91.92,72.86,19.06
2018,1045,Dale County,al,562.6773,99.72,0.28,49255,87.78279,49.2,50.8,23.36,23.33,37.19,16.12,72.86,19.79,0.77,1.29,0.01,1.92,3.36,25.99,50.15,2.39,7.5,13.97,18670,67.41,48.76,18.65,3.65,15.0,32.59,14.57,18.01,18670,28.04,37.19,17.13,9.11,5.74,2.06,0.74,4.01,0.06,0.02,0.05,3.94,2.09,1.85,95.99,2.57,0.45,17.77,11.49,6.29,82.23,66.08,16.15
2018,1047,Dallas County,al,993.8442,98.48,1.52,40029,40.898590000000006,46.09,53.91,24.43,20.79,38.02,16.75,28.12,70.47,0.02,0.56,0.06,0.06,0.7,39.84,36.96,4.03,8.35,10.82,16336,64.67,33.99,30.68,6.07,24.61,35.33,16.63,18.7,16336,31.84,35.37,13.08,10.42,6.51,1.74,1.03,4.37,0.18,0.07,0.1,4.19,2.17,2.03,95.63,2.41,0.4885,6.96,3.97,3.0,93.04,73.86,19.18
2018,1049,DeKalb County,al,778.6901,99.8,0.2,71200,91.62285,49.58,50.42,24.55,20.28,38.86,16.32,85.63,1.41,1.31,0.2,0.87,8.29,2.29,25.7,52.15,2.22,7.75,12.17,26132,70.46,52.72,17.74,5.68,12.06,29.54,14.99,14.55,26132,26.8,33.69,14.98,14.25,6.58,2.12,1.58,4.83,0.21,0.05,0.16,4.62,2.65,1.96,95.17,2.69,0.4748,6.85,3.12,3.73,93.15,75.25,17.9
2018,1051,Elmore County,al,657.0404,94.13,5.87,81212,131.3161,48.58,51.42,22.46,22.63,40.42,14.49,74.9,21.43,0.26,0.48,0.0,0.95,1.98,28.76,50.22,1.72,6.53,12.76,29143,71.92,53.53,18.39,5.56,12.82,28.08,12.25,15.83,29143,25.19,36.95,15.91,13.97,5.04,2.3,0.64,3.71,0.09,0.0,0.09,3.61,1.58,2.03,96.29,2.63,0.4359,10.56,6.43,4.13,89.44,74.74,14.7
2018,1053,Escambia County,al,953.1396,99.17,0.83,37328,39.49123,51.08,48.92,22.31,21.48,38.86,17.35,61.87,31.93,3.85,0.36,0.19,0.62,1.17,34.49,42.15,2.37,8.49,12.5,13428,61.16,43.28,17.89,3.52,14.37,38.84,17.62,21.22,13428,35.15,33.62,13.54,9.71,5.02,2.18,0.77,4.68,0.16,0.03,0.13,4.51,3.83,0.69,95.32,2.57,0.4823,7.53,3.63,3.9,92.47,74.04,18.43
2018,1055,Etowah County,al,548.629,97.57,2.43,102939,192.308,48.23,51.77,21.64,20.16,39.86,18.34,80.35,15.75,0.73,0.72,0.06,0.73,1.66,27.24,48.34,2.19,8.18,14.05,38777,67.41,49.54,17.87,4.02,13.85,32.59,14.24,18.35,38777,29.08,36.37,15.24,12.36,4.73,1.61,0.61,3.94,0.18,0.1,0.08,3.76,2.03,1.73,96.06,2.62,0.4483,9.2,4.24,4.96,90.8,72.35,18.45
2018,1057,Fayette County,al,629.3559,99.73,0.27,16585,26.42254,49.26,50.74,21.48,19.32,38.75,20.45,84.99,11.93,0.0,0.65,0.04,0.0,2.4,21.06,55.16,2.59,8.43,12.76,6947,69.27,52.11,17.16,6.68,10.48,30.73,12.8,17.94,6947,27.52,37.33,16.61,11.65,5.73,0.82,0.35,3.97,0.0,0.0,0.0,3.97,1.89,2.09,96.03,2.34,0.4635,8.91,3.8,5.11,91.09,70.13,20.96
2018,1059,Franklin County,al,646.5225,98.05,1.95,31542,49.75718,49.46,50.54,24.75,21.93,37.15,16.17,83.91,4.4,1.55,0.38,0.0,8.77,0.99,26.58,49.21,1.98,8.97,13.27,11210,68.71,50.35,18.36,4.97,13.39,31.29,15.13,16.16,11210,27.82,34.21,16.07,11.53,7.42,1.35,1.59,5.87,0.12,0.09,0.04,5.74,3.41,2.34,94.13,2.79,0.4224,5.3,2.68,2.62,94.7,75.84,18.87
2018,1061,Geneva County,al,578.9509,99.23,0.77,26491,46.11296,48.96,51.04,22.11,18.91,39.53,19.45,86.33,9.55,0.79,0.41,0.02,0.92,1.98,22.86,52.89,2.54,8.36,13.36,10479,68.9,51.43,17.47,4.69,12.79,31.1,14.74,16.36,10479,26.16,41.14,14.15,11.43,4.34,1.35,1.43,5.25,0.14,0.0,0.14,5.11,2.41,2.69,94.75,2.5,0.4413,10.37,4.94,5.43,89.63,69.98,19.65
2018,1063,Greene County,al,659.9251,98.04,1.96,8426,13.02272,46.88,53.12,22.1,20.61,36.92,20.37,17.15,79.67,0.57,0.0,0.0,0.0,2.61,44.05,27.77,5.77,11.49,10.92,2955,55.16,30.93,24.23,5.99,18.24,44.84,17.53,27.31,2955,42.84,33.6,12.55,6.29,2.44,1.05,1.22,2.71,0.14,0.14,0.0,2.57,0.27,2.3,97.29,2.83,0.5041,6.51,4.36,2.15,93.49,69.5,23.99
2018,1065,Hale County,al,656.5013,98.09,1.91,14887,23.11709,47.15,52.85,23.38,20.3,38.07,18.25,39.62,58.76,0.19,0.26,0.0,0.68,0.48,38.48,40.14,2.11,7.41,11.87,5658,62.92,41.25,21.67,2.51,19.16,37.08,15.66,21.42,5658,35.12,33.65,14.69,10.3,3.84,1.38,1.03,3.22,0.46,0.34,0.12,2.76,1.61,1.15,96.78,2.6,0.5071,6.77,3.91,2.86,93.23,72.18,21.05
2018,1067,Henry County,al,568.309,98.85,1.15,17124,30.483290000000004,48.07,51.93,20.95,17.65,39.82,21.58,71.12,27.73,0.02,0.0,0.0,0.22,0.91,25.78,53.45,2.38,7.53,10.86,6669,67.13,53.86,13.27,3.27,10.0,32.87,16.57,16.3,6669,29.69,38.75,12.9,10.9,5.37,1.21,1.18,3.36,0.15,0.15,0.0,3.21,2.04,1.17,96.64,2.52,0.435,9.09,4.69,4.41,90.91,67.99,22.92
2018,1069,Houston County,al,581.6775,99.69,0.31,104352,179.9578,47.94,52.06,23.37,20.92,38.83,16.88,69.37,26.91,0.29,0.84,0.02,0.5,2.08,30.05,46.08,2.54,7.49,13.85,39253,65.56,45.99,19.56,4.01,15.55,34.44,15.31,19.13,39253,30.02,35.82,15.58,11.57,4.76,1.66,0.6,5.07,0.29,0.18,0.11,4.78,2.29,2.5,94.93,2.63,0.4808,9.96,5.17,4.79,90.04,72.76,17.28
2018,1071,Jackson County,al,1126.765,95.67,4.33,52094,48.32524,49.02,50.98,21.42,18.66,40.78,19.14,91.01,3.45,1.18,0.41,0.15,1.06,2.73,21.02,55.74,2.15,8.66,12.43,20626,69.86,55.36,14.5,4.08,10.42,30.14,14.43,15.71,20626,27.78,38.91,15.92,10.77,4.52,1.24,0.87,3.1,0.0,0.0,0.0,3.1,1.61,1.49,96.9,2.49,0.4616,7.09,2.96,4.13,92.91,72.67,20.24
2018,1073,Jefferson County,al,1124.079,98.87,1.13,659892,593.7582,47.33,52.67,22.98,23.44,38.55,15.02,51.92,42.69,0.24,1.55,0.03,1.88,1.69,34.48,43.55,2.6,6.67,12.69,260924,63.17,41.55,21.63,4.45,17.18,36.83,16.09,20.74,260924,31.68,33.17,16.18,11.82,4.7,1.61,0.84,4.26,0.28,0.13,0.14,3.98,1.93,2.05,95.74,2.47,0.4996,7.35,3.89,3.46,92.65,76.58,16.07
2018,1075,Lamar County,al,605.4643,99.9,0.1,13933,23.0356,48.8,51.2,22.0,17.56,39.35,21.09,87.47,11.18,0.0,0.0,0.0,0.85,0.5,19.17,58.89,1.51,10.03,10.41,5974,67.83,54.57,13.26,2.49,10.76,32.17,15.72,16.45,5974,30.57,34.8,13.07,14.03,5.36,1.57,0.6,1.89,0.0,0.0,0.0,1.89,1.1,0.79,98.11,2.3,0.4623,7.09,3.51,3.58,92.91,69.46,23.45
2018,1077,Lauderdale County,al,719.5999,92.83,7.17,92585,138.5976,47.86,52.14,20.01,23.25,37.43,19.31,87.01,10.11,0.45,0.66,0.07,0.19,1.5,26.4,51.69,1.35,8.33,12.22,38514,64.57,49.41,15.16,3.47,11.69,35.43,15.57,19.86,38514,29.39,38.48,14.56,11.52,4.36,1.18,0.51,4.67,0.46,0.29,0.18,4.2,1.85,2.35,95.33,2.35,0.4672,8.38,3.55,4.83,91.62,72.29,19.34
2018,1079,Lawrence County,al,717.2028,96.3,3.7,33171,48.02628,48.24,51.76,21.8,19.63,41.12,17.45,78.21,10.93,5.66,0.13,0.07,0.02,4.98,22.79,56.73,1.63,6.74,12.11,12811,72.79,56.56,16.23,4.5,11.73,27.21,11.99,15.22,12811,25.45,36.62,17.48,13.81,4.76,1.25,0.63,3.22,0.0,0.0,0.0,3.22,1.46,1.76,96.78,2.57,0.4389,6.09,3.13,2.96,93.91,74.54,19.37
2018,1081,Lee County,al,615.8489,98.65,1.35,159287,262.17900000000003,49.2,50.8,21.47,33.25,34.14,11.14,70.3,23.02,0.14,4.13,0.01,0.54,1.85,39.65,43.84,2.0,4.47,10.04,59373,62.98,44.79,18.19,4.41,13.78,37.02,19.06,17.96,59373,28.17,33.7,18.15,13.43,4.17,1.59,0.8,4.43,0.3,0.09,0.2,4.13,2.4,1.73,95.57,2.58,0.5081,8.0,5.02,2.98,92.0,80.72,11.27
2018,1083,Limestone County,al,607.1872,92.22,7.78,93052,166.1775,49.89,50.11,23.01,20.84,41.4,14.75,80.75,13.4,0.92,1.26,0.03,1.79,1.86,28.18,51.56,1.88,6.6,11.77,32126,70.87,56.57,14.29,3.49,10.8,29.13,13.4,15.73,32126,26.1,36.1,16.06,13.25,5.95,1.65,0.88,3.54,0.14,0.0,0.14,3.4,1.96,1.44,96.46,2.81,0.4509,9.94,5.77,4.17,90.06,75.05,15.01
2018,1085,Lowndes County,al,725.0703,98.74,1.26,10236,14.29786,47.19,52.81,22.76,20.58,38.79,17.86,24.87,74.26,0.13,0.0,0.0,0.0,0.74,39.01,37.01,3.6,8.96,11.42,4180,68.54,32.85,35.69,7.61,28.09,31.46,14.38,17.08,4180,29.83,33.42,18.71,11.48,4.93,0.81,0.81,3.92,0.1,0.0,0.1,3.83,0.91,2.92,96.08,2.43,0.4999,4.63,2.35,2.28,95.37,74.53,20.84
2018,1087,Macon County,al,613.2079,99.29,0.71,19054,31.296229999999998,46.13,53.87,17.9,29.22,34.29,18.59,15.88,82.61,0.33,0.26,0.0,0.56,0.36,45.26,33.8,2.98,6.72,11.24,7637,57.34,33.31,24.03,4.4,19.63,42.66,19.01,23.65,7637,37.83,31.81,14.8,8.98,4.52,1.53,0.54,4.9,0.0,0.0,0.0,4.9,2.49,2.41,95.1,2.19,0.5145,9.03,4.75,4.27,90.97,72.58,18.39
2018,1089,Madison County,al,812.7152,98.63,1.37,357560,446.0671,48.85,51.15,22.15,23.52,39.99,14.35,68.19,24.06,0.55,2.54,0.09,1.26,3.31,30.23,50.64,1.8,5.49,11.84,145256,64.29,48.47,15.82,3.82,12.0,35.71,17.23,18.48,145256,30.45,34.1,15.67,12.56,4.98,1.68,0.56,3.97,0.27,0.12,0.15,3.7,1.86,1.85,96.03,2.4,0.4673,11.76,7.38,4.38,88.24,74.11,14.13
2018,1091,Marengo County,al,982.6713,99.41,0.59,19538,20.00015,48.35,51.65,22.87,19.4,38.85,18.89,45.32,53.83,0.26,0.0,0.0,0.3,0.29,34.27,41.06,2.07,11.08,11.53,7768,53.4,37.11,16.28,4.36,11.92,46.6,21.78,24.82,7768,44.73,30.41,10.97,9.55,3.39,0.89,0.06,1.84,0.01,0.0,0.01,1.83,1.31,0.51,98.16,2.48,0.5386,6.46,3.78,2.69,93.54,71.74,21.8
2018,1093,Marion County,al,743.5712,99.83,0.17,29965,40.3655,49.72,50.28,21.08,18.68,39.49,20.75,93.06,3.66,0.41,0.16,0.0,1.0,1.71,21.41,55.3,1.73,9.9,11.66,12212,68.94,52.38,16.56,4.8,11.76,31.06,13.01,18.05,12212,28.99,39.49,14.71,10.14,5.26,0.29,1.12,1.23,0.06,0.0,0.06,1.17,0.3,0.87,98.77,2.41,0.4596,6.41,2.89,3.52,93.59,70.78,22.8
2018,1095,Marshall County,al,623.1795,90.8,9.2,95145,168.1467,49.37,50.63,24.86,20.5,37.88,16.75,92.37,2.58,0.41,0.6,0.05,2.2,1.79,24.0,52.73,2.24,7.94,13.09,34896,68.52,52.52,16.0,4.03,11.97,31.48,14.29,17.19,34896,27.61,34.92,16.01,11.53,6.68,2.08,1.17,4.29,0.09,0.0,0.08,4.2,2.6,1.6,95.71,2.7,0.4805,8.57,4.51,4.07,91.43,73.19,18.24
2018,1097,Mobile County,al,1644.056,74.78,25.22,414659,337.2939,47.73,52.27,23.72,23.11,37.82,15.35,58.76,35.56,0.7,1.96,0.01,1.21,1.8,33.26,43.97,2.95,7.09,12.73,155831,65.31,43.65,21.66,4.19,17.47,34.69,16.11,18.58,155831,30.21,33.8,16.68,11.54,4.54,2.08,1.14,4.28,0.3,0.12,0.18,3.98,2.32,1.65,95.72,2.6,0.4765,8.87,4.86,4.0,91.13,74.96,16.17
